id,release_date,title,production_budget,domestic_gross_x,worldwide_gross,studio,foreign_gross
1,2009-12-18,Avatar,425000000.0,760507625.0,2776345279.0,,2015837654.0
2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,BV,804600000.0
3,2019-06-07,Dark Phoenix,350000000.0,42762350.0,149762350.0,,107000000.0
4,2015-05-01,Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,BV,944008095.0
5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000.0,620181382.0,1316721747.0,,696540365.0
6,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000.0,936662225.0,2053311220.0,,1116648995.0
7,2018-04-27,Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,BV,1369318718.0
8,2007-05-24,Pirates of the Caribbean: At Worldâs End,300000000.0,309420425.0,963420425.0,,654000000.0
9,2017-11-17,Justice League,300000000.0,229024295.0,655945209.0,WB,426920914.0
10,2015-11-06,Spectre,300000000.0,200074175.0,879620923.0,Sony,679546748.0
11,2012-07-20,The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,WB,636300000.0
12,2018-05-25,Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,BV,179383835.0
13,2013-07-02,The Lone Ranger,275000000.0,89302115.0,260002115.0,BV,170700000.0
14,2012-03-09,John Carter,275000000.0,73058679.0,282778100.0,BV,209719421.0
15,2010-11-24,Tangled,260000000.0,200821936.0,586477240.0,BV,385655304.0
16,2007-05-04,Spider-Man 3,258000000.0,336530303.0,894860230.0,,558329927.0
17,2016-05-06,Captain America: Civil War,250000000.0,408084349.0,1140069413.0,BV,731985064.0
18,2016-03-25,Batman v Superman: Dawn of Justice,250000000.0,330360194.0,867500281.0,WB,537140087.0
19,2012-12-14,The Hobbit: An Unexpected Journey,250000000.0,303003568.0,1017003568.0,WB (NL),714000000.0
20,2009-07-15,Harry Potter and the Half-Blood Prince,250000000.0,302089278.0,935213767.0,,633124489.0
21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000.0,258366855.0,960366855.0,WB (NL),702000000.0
22,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000.0,255119788.0,945577621.0,WB (NL),690457833.0
23,2017-04-14,The Fate of the Furious,250000000.0,225764765.0,1234846267.0,Uni.,1009081502.0
24,2006-06-28,Superman Returns,232000000.0,200120000.0,374085065.0,,173965065.0
25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000.0,172558876.0,788241137.0,BV,615682261.0
26,2008-11-14,Quantum of Solace,230000000.0,169368427.0,591692078.0,,422323651.0
27,2012-05-04,The Avengers,225000000.0,623279547.0,1517935897.0,,894656350.0
28,2006-07-07,Pirates of the Caribbean: Dead Manâs Chest,225000000.0,423315812.0,1066215812.0,,642900000.0
29,2013-06-14,Man of Steel,225000000.0,291045518.0,667999518.0,WB,376954000.0
30,2008-05-16,The Chronicles of Narnia: Prince Caspian,225000000.0,141621490.0,417341288.0,,275719798.0
31,2012-07-03,The Amazing Spider-Man,220000000.0,262030663.0,757890267.0,Sony,495859604.0
32,2012-05-18,Battleship,220000000.0,65233400.0,313477717.0,Uni.,248244317.0
33,2017-06-21,Transformers: The Last Knight,217000000.0,130168683.0,602893340.0,Par.,472724657.0
34,2015-06-12,Jurassic World,215000000.0,652270625.0,1648854864.0,Uni.,996584239.0
35,2012-05-25,Men in Black 3,215000000.0,179020854.0,654213485.0,,475192631.0
36,2009-06-24,Transformers: Revenge of the Fallen,210000000.0,402111870.0,836519699.0,,434407829.0
37,2014-06-27,Transformers: Age of Extinction,210000000.0,245439076.0,1104039076.0,Par.,858600000.0
38,2006-05-26,X-Men: The Last Stand,210000000.0,234362462.0,459260946.0,,224898484.0
39,2010-05-14,Robin Hood,210000000.0,105487148.0,322459006.0,Uni.,216971858.0
40,2005-12-14,King Kong,207000000.0,218080025.0,550517357.0,,332437332.0
41,2007-12-07,The Golden Compass,205000000.0,70107728.0,367262558.0,,297154830.0
42,2018-02-16,Black Panther,200000000.0,700059566.0,1348258224.0,BV,648198658.0
43,1997-12-19,Titanic,200000000.0,659363944.0,2208208395.0,,1548844451.0
44,2018-06-15,Incredibles 2,200000000.0,608581744.0,1242520711.0,BV,633938967.0
45,2016-12-16,Rogue One: A Star Wars Story,200000000.0,532177324.0,1049102856.0,BV,516925532.0
46,2016-06-17,Finding Dory,200000000.0,486295561.0,1021215193.0,BV,534919632.0
47,2010-06-18,Toy Story 3,200000000.0,415004880.0,1068879522.0,BV,653874642.0
48,2013-05-03,Iron Man 3,200000000.0,408992272.0,1215392272.0,BV,806400000.0
49,2017-05-05,Guardians of the Galaxy Vol 2,200000000.0,389813101.0,862316233.0,,472503132.0
50,2004-06-30,Spider-Man 2,200000000.0,373524485.0,795110670.0,,421586185.0
51,2010-03-05,Alice in Wonderland,200000000.0,334191110.0,1025491110.0,,691300000.0
52,2012-11-08,Skyfall,200000000.0,304360277.0,1110526981.0,Sony,806166704.0
53,2013-06-21,Monsters University,200000000.0,268488329.0,743588329.0,BV,475100000.0
54,2013-03-08,Oz the Great and Powerful,200000000.0,234770996.0,490359051.0,,255588055.0
55,2014-05-23,X-Men: Days of Future Past,200000000.0,233921534.0,747862775.0,Fox,513941241.0
56,2014-05-02,The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,Sony,506142403.0
57,2011-06-24,Cars 2,200000000.0,191450875.0,560155383.0,BV,368704508.0
58,2010-12-17,Tron: Legacy,200000000.0,172062763.0,400062763.0,,228000000.0
59,2009-11-13,2012,200000000.0,166112167.0,757677748.0,,591565581.0
60,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000.0,159555901.0,652220086.0,WB,492664185.0
61,2009-05-21,Terminator Salvation,200000000.0,125322469.0,365491792.0,,240169323.0
62,2011-06-17,Green Lantern,200000000.0,116601172.0,219535492.0,WB,102934320.0
63,2010-05-28,Prince of Persia: Sands of Time,200000000.0,90759676.0,336359676.0,,245600000.0
64,2011-06-29,Transformers: Dark of the Moon,195000000.0,352390543.0,1123790543.0,P/DW,771400000.0
65,2017-06-09,The Mummy,195000000.0,80101125.0,409953905.0,,329852780.0
66,2013-03-01,Jack the Giant Slayer,195000000.0,65187603.0,197687603.0,WB (NL),132500000.0
67,2015-04-03,Furious 7,190000000.0,353007020.0,1518722794.0,Uni.,1165715774.0
68,2013-05-16,Star Trek Into Darkness,190000000.0,228778661.0,467381584.0,Par.,238602923.0
69,2013-06-21,World War Z,190000000.0,202359711.0,531514650.0,Par.,329154939.0
70,2013-05-10,The Great Gatsby,190000000.0,144840419.0,351040419.0,,206200000.0
71,2009-11-06,Disneyâs A Christmas Carol,190000000.0,137855863.0,315709697.0,,177853834.0
72,2013-07-12,Pacific Rim,190000000.0,101802906.0,411002906.0,WB,309200000.0
73,2015-11-25,The Good Dinosaur,187500000.0,123087120.0,333771037.0,BV,210683917.0
74,2008-05-02,Iron Man,186000000.0,318604126.0,585171547.0,,266567421.0
75,2008-07-18,The Dark Knight,185000000.0,533720947.0,1001996207.0,,468275260.0
76,2008-05-22,Indiana Jones and the Kingdom of the Crystal Skull,185000000.0,317101119.0,786635413.0,,469534294.0
77,2012-06-22,Brave,185000000.0,237282182.0,554606532.0,BV,317324350.0
78,2017-03-10,Kong: Skull Island,185000000.0,168052812.0,561072059.0,WB,393019247.0
79,2016-07-22,Star Trek Beyond,185000000.0,158848340.0,335802233.0,Par.,176953893.0
80,2017-10-06,Blade Runner 2049,185000000.0,92054159.0,259357408.0,WB,167303249.0
81,2019-05-24,Aladdin,182000000.0,246734314.0,619234314.0,,372500000.0
82,2017-11-03,Thor: Ragnarok,180000000.0,315058289.0,846980024.0,BV,531921735.0
83,2005-12-09,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000.0,291710957.0,720539572.0,,428828615.0
84,2014-05-30,Maleficent,180000000.0,241407328.0,758536735.0,BV,517129407.0
85,2016-11-18,Fantastic Beasts and Where to Find Them,180000000.0,234037575.0,802402853.0,,568365278.0
86,2008-06-27,WALL-E,180000000.0,223808164.0,532508025.0,,308699861.0
87,2007-08-10,Rush Hour 3,180000000.0,140125968.0,256585882.0,,116459914.0
88,2016-07-01,The Legend of Tarzan,180000000.0,126643061.0,348902025.0,WB,222258964.0
89,2011-11-23,Hugo,180000000.0,73864507.0,180047784.0,Par.,106183277.0
90,2017-07-21,Valerian and the City of a Thousand Planets,180000000.0,40479370.0,215098356.0,STX,174618986.0
91,2015-02-06,Jupiter Ascending,179000000.0,47482519.0,181982519.0,WB,134500000.0
92,2018-07-27,Mission: ImpossibleâFallout,178000000.0,220159104.0,787456552.0,,567297448.0
93,2016-05-27,X-Men: Apocalypse,178000000.0,155442489.0,542537546.0,Fox,387095057.0
