movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes
tt0063540,Sunghursh,2013,175.0,"Action,Crime,Drama",7.0,77
tt0066787,One Day Before the Rainy Season,2019,114.0,"Biography,Drama",7.2,43
tt0069049,The Other Side of the Wind,2018,122.0,Drama,6.9,4517
tt0100275,The Wandering Soap Opera,2017,80.0,"Comedy,Drama,Fantasy",6.5,119
tt0137204,Joe Finds Grace,2017,83.0,"Adventure,Animation,Comedy",8.1,263
tt0146592,Pál Adrienn,2010,136.0,Drama,6.8,451
tt0154039,So Much for Justice!,2010,100.0,History,4.6,64
tt0159369,Cooper and Hemingway: The True Gen,2013,180.0,Documentary,7.6,53
tt0162942,Children of the Green Dragon,2010,89.0,Drama,6.9,120
tt0170651,T.G.M. - osvoboditel,2018,60.0,Documentary,7.5,6
tt0176694,The Tragedy of Man,2011,160.0,"Animation,Drama,History",7.8,584
tt0192528,Heaven & Hell,2018,104.0,Drama,4.0,72
tt0230212,The Final Journey,2010,120.0,Drama,8.8,8
tt0247643,Los pájaros se van con la muerte,2011,110.0,"Drama,Mystery",4.0,12
tt0249516,Foodfight!,2012,91.0,"Action,Animation,Comedy",1.9,8248
tt0255820,Return to Babylon,2013,75.0,"Biography,Comedy,Drama",5.9,123
tt0262218,Akakis mogzauroba,2012,44.0,Documentary,7.8,22
tt0276568,To Chase a Million,2018,97.0,"Action,Drama",7.4,5
tt0277964,Prague: The Restless Heart of Europe,2018,59.0,"Documentary,History",7.0,31
tt0283440,Short Time Heroes,2015,45.0,Sci-Fi,6.6,16
tt0285252,Life's a Beach,2012,100.0,Comedy,3.9,219
tt0293069,Dark Blood,2012,86.0,Thriller,6.6,1053
tt0312305,Quantum Quest: A Cassini Space Odyssey,2010,45.0,"Adventure,Animation,Sci-Fi",5.1,287
tt0315642,Wazir,2016,103.0,"Action,Crime,Drama",7.1,15378
tt0323808,The Wicker Tree,2011,96.0,"Drama,Horror",3.9,2328
tt0326965,In My Sleep,2010,104.0,"Drama,Mystery,Thriller",5.5,1889
tt0328810,My Land,2018,102.0,"Drama,Family",7.9,61
tt0329539,Rice Girl,2014,95.0,"Adventure,Comedy,Romance",6.1,73
tt0331312,This Wretched Life,2010,99.0,"Comedy,Drama",7.6,59
tt0331314,Bunyan and Babe,2017,84.0,"Adventure,Animation,Comedy",5.0,302
tt0337692,On the Road,2012,124.0,"Adventure,Drama,Romance",6.1,37886
tt0337926,Chatô - The King of Brazil,2015,102.0,Biography,6.0,558
tt0339736,The Evil Within,2017,98.0,Horror,5.6,2420
tt0346045,Transeúntes,2015,101.0,"Comedy,Drama",6.7,35
tt0359950,The Secret Life of Walter Mitty,2013,114.0,"Adventure,Comedy,Drama",7.3,275300
tt0360556,Fahrenheit 451,2018,100.0,"Drama,Sci-Fi,Thriller",4.9,14469
tt0364201,Aman Ke Farishtey,2016,137.0,Action,6.4,16
tt0365545,Nappily Ever After,2018,98.0,"Comedy,Drama,Romance",6.4,6287
tt0365907,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama",6.5,105116
tt0369610,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",7.0,539338
tt0372538,Spy,2011,110.0,"Action,Crime,Drama",6.6,78
tt0376136,The Rum Diary,2011,119.0,"Comedy,Drama",6.2,94787
tt0376479,American Pastoral,2016,108.0,"Crime,Drama",6.1,12898
tt0377981,Gnomeo & Juliet,2011,84.0,"Adventure,Animation,Comedy",6.0,49550
tt0381957,Cloud Cuckoo Land,2012,92.0,Drama,7.6,23
tt0383010,The Three Stooges,2012,92.0,"Comedy,Family",5.1,28570
tt0393049,Anderson's Cross,2010,98.0,"Comedy,Drama,Romance",5.5,106
tt0396123,Den milde smerte,2010,280.0,Drama,7.8,6
tt0398286,Tangled,2010,100.0,"Adventure,Animation,Comedy",7.8,366366
tt0400320,The Connecticut Kid,2011,87.0,Adventure,7.9,18
tt0401729,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",6.6,241792
tt0403645,Burnt by the Sun 2,2010,181.0,"Drama,History,War",4.1,3907
tt0403935,Action Jackson,2014,144.0,"Action,Thriller",3.3,2862
tt0404978,Gambit,2012,89.0,"Comedy,Crime",5.7,22148
tt0406282,Bubbles,2011,80.0,Drama,8.6,18
tt0407194,Seven Fallen Objects,2011,90.0,"Comedy,Drama",6.5,6
tt0409379,In Secret,2013,107.0,"Crime,Drama,Thriller",6.2,7045
tt0409847,Cowboys & Aliens,2011,119.0,"Action,Sci-Fi,Thriller",6.0,195889
tt0411951,Tekken,2010,87.0,"Action,Crime,Drama",4.8,24913
